"6/16/22, 2:09 AM",,,,,,,,,,,,,
,,,,"Monthly Mean Avg Temperature for HANFORD 1 S, CA ",,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1995,49.9,51.9,55.4,59.7,66,73,79.4,79.6,74.7,65.9,57.7,49.1,63.5
1996,46.6,53.4,56.9,62.6,69.9,76.6,83.2,81.2,73,63.2,53.3,47.8,64
1997,48.1,49.7,59.5,62.8,74.2,75,79.4,78.9,75.4,62.8,56.1,43,63.7
1998,48.1,49.3,55.5,58.6,62,71.4,81,80.9,74.3,62.1,52.1,41.2,61.4
1999,42.9,48.8,53.4,58,67.2,75,80,77.7,75,67.7,56.2,45.9,62.3
2000,M,M,56.2,64.3,71.2,79,78.7,81.1,73.2,65,50.4,48,66.7
2001,45.9,49.6,59.4,59.6,76.2,79.3,81.6,80.5,76.3,68.4,56.4,46.8,65
2002,44.6,51.1,55,63.3,69.5,77.8,83.1,79.4,76.2,64.7,54.6,48.5,64
2003,49.1,50.1,57.5,58.3,68.7,77.3,83.8,79.9,77.6,68.5,50.7,48.1,64.1
2004,45.1,49.1,61.5,64,69.5,76,80.8,79,73.4,62.6,50,43.7,62.9
2005,45.9,52.9,56.5,58.3,68.5,71.9,83.6,80.8,70.4,62.9,54.2,48.2,62.8
2006,45.8,49.8,49,57.8,69.8,77.9,83.8,76.7,72.7,60.6,51.9,43.2,61.6
2007,40.2,49.1,57.8,60.6,69.3,75.2,79.5,79.2,71.1,60.9,53.4,42,61.5
2008,44.2,47.3,54.3,58.8,67,75.3,79.9,M,76.3,66.3,56.5,43.6,60.9
2009,46.2,50.3,55.3,61.4,74.4,74.8,83.6,78.3,76.1,61.4,52.6,45.4,63.3
2010,46.5,50.7,53.5,55.5,62.9,75.5,80.6,77.4,73.8,66.4,52.4,50.2,62.1
2011,44.6,M,53.7,60.1,64.3,73.1,80,79.8,77.4,66.1,51.4,42.9,63
2012,47.2,50.8,54.6,61.6,68.2,74.9,79.9,83,78.4,66.3,55.4,48,64
2013,44,48.3,59,64.6,70.8,78.2,84.6,M,75.2,63.7,55.5,44.3,62.6
2014,50.6,54.1,60,65,72.4,78.9,84.2,82.5,78.6,69.5,56.2,49.5,66.8
2015,45.2,55.4,63.5,64.4,64.6,81.2,83.1,82.4,78.7,70.9,51.8,45.5,65.6
2016,49.8,54.1,59,65.5,71,80.6,83.6,82.6,76,66.9,57.8,46.9,66.1
2017,48.1,53.1,58.2,62.6,70.2,80.1,M,84.3,76,64.8,57.7,45.9,63.7
2018,50.7,51.3,55.1,64.5,69.8,77.6,83.5,80.4,75.7,66.1,56.2,47.2,64.8
2019,48.8,48.3,57.3,67.1,65.1,80,82.3,82.7,76.1,63.8,57.8,50.4,65
2020,46.9,53.4,56.4,63.8,73.2,77.9,82.5,84.1,77.5,70,54.6,48.8,65.8
2021,47.2,48.7,54.2,62,M,81.2,86.3,M,M,62.6,53.2,44.3,60
2022,46,50.6,59,62.2,64.8,M,M,M,M,M,M,M,56.5
Mean,46.6,50.8,56.7,61.7,68.9,76.8,82,80.5,75.3,65.2,54.3,46.2,63.4
,50.7,55.4,63.5,67.1,76.2,81.2,86.3,84.3,78.7,70.9,57.8,50.4,
Max,,,,,,,,,,,,,66.8
,2018,2015,2015,2019,2001,2021,2021,2017,2015,2015,2019,2019,
,40.2,47.3,49,55.5,62,71.4,78.7,76.7,70.4,60.6,50,41.2,
Min,,,,,,,,,,,,,56.5
,2007,2008,2006,2010,1998,1998,2000,2006,2005,2006,2004,1998,
,,,,,,,,,,,,,1/1
