"U.S. monthly dry natural gas production and monthly average citygate price, 2005-2020",,
production - trillion cubic feet
"price - dollars per 1,000 cubic feet"
"Source: U.S. Energy Information Administration, <em>Natural Gas Monthly</em>, September 2021",,
Note: Citygate is a point or measuring station at which a natural gas distribution utility receives gas from a pipeline company or transmission system.,,
"An interactive line chart showing U.S. monthly dry natural gas production and monthly average citygate price in 2005 through 2020",,
,dry production,citygate price
Jan-2005,1.557,7.05
Feb-2005,1.429,7.09
Mar-2005,1.609,7.24
Apr-2005,1.540,7.79
May-2005,1.576,7.51
Jun-2005,1.537,7.3
Jul-2005,1.552,7.68
Aug-2005,1.544,8.2
Sep-2005,1.336,10.26
Oct-2005,1.407,12.16
Nov-2005,1.444,11.57
Dec-2005,1.519,10.77
Jan-2006,1.536,10.8
Feb-2006,1.383,9.34
Mar-2006,1.555,8.81
Apr-2006,1.497,8.29
May-2006,1.556,7.99
Jun-2006,1.539,7.39
Jul-2006,1.573,7.4
Aug-2006,1.579,8.1
Sep-2006,1.542,7.68
Oct-2006,1.597,6.42
Nov-2006,1.540,8.47
Dec-2006,1.606,8.66
Jan-2007,1.576,7.88
Feb-2007,1.444,8.57
Mar-2007,1.625,8.79
Apr-2007,1.552,8.2
May-2007,1.643,8.41
Jun-2007,1.590,8.45
Jul-2007,1.625,8.02
Aug-2007,1.634,7.6
Sep-2007,1.598,7
Oct-2007,1.654,7.43
Nov-2007,1.633,8.14
Dec-2007,1.693,8.27
Jan-2008,1.686,8.37
Feb-2008,1.591,8.91
Mar-2008,1.723,9.49
Apr-2008,1.662,9.84
May-2008,1.717,11.05
Jun-2008,1.681,11.85
Jul-2008,1.769,12.48
Aug-2008,1.744,10.2
Sep-2008,1.489,8.99
Oct-2008,1.675,7.8
Nov-2008,1.679,7.93
Dec-2008,1.744,8.16
Jan-2009,1.782,7.97
Feb-2009,1.624,7.26
Mar-2009,1.786,6.85
Apr-2009,1.699,5.71
May-2009,1.756,5.49
Jun-2009,1.707,5.55
Jul-2009,1.741,5.7
Aug-2009,1.755,5.61
Sep-2009,1.652,5.37
Oct-2009,1.729,5.65
Nov-2009,1.674,6.34
Dec-2009,1.717,6.22
Jan-2010,1.737,6.84
Feb-2010,1.603,6.64
Mar-2010,1.776,6.5
Apr-2010,1.727,5.88
May-2010,1.797,5.81
Jun-2010,1.717,6.02
Jul-2010,1.806,6.31
Aug-2010,1.827,6.22
Sep-2010,1.772,5.72
Oct-2010,1.863,5.7
Nov-2010,1.802,5.48
Dec-2010,1.890,5.74
Jan-2011,1.861,5.69
Feb-2011,1.647,5.75
Mar-2011,1.908,5.73
Apr-2011,1.868,5.62
May-2011,1.935,5.8
Jun-2011,1.862,6.12
Jul-2011,1.937,6.16
Aug-2011,1.960,6.19
